type,mass_drivers_online,area_m2,system
launch,,381707477.81773067,mercury_mass_driver
launch,,381743951.06786466,mercury_mass_driver
launch,,381780411.96701336,mercury_mass_driver
infrastructure,14165.0,,
launch,,381816860.52471715,mercury_mass_driver
launch,,381853296.7505048,mercury_mass_driver
launch,,381889720.6538938,mercury_mass_driver
launch,,381926132.2443901,mercury_mass_driver
launch,,381962531.5314881,mercury_mass_driver
launch,,381998918.52467084,mercury_mass_driver
launch,,382035293.23341,mercury_mass_driver
infrastructure,14606.0,,
launch,,382071655.66716576,mercury_mass_driver
launch,,382108005.8353871,mercury_mass_driver
launch,,382144343.74751145,mercury_mass_driver
launch,,382180669.41296506,mercury_mass_driver
launch,,382216982.8411627,mercury_mass_driver
launch,,382253284.0415079,mercury_mass_driver
launch,,382289573.0233931,mercury_mass_driver
infrastructure,15046.0,,
launch,,382325849.79619914,mercury_mass_driver
launch,,382362114.36929595,mercury_mass_driver
launch,,382398366.75204206,mercury_mass_driver
launch,,382434606.95378464,mercury_mass_driver
launch,,382470834.9838601,mercury_mass_driver
launch,,382507050.8515932,mercury_mass_driver
launch,,382543254.5662979,mercury_mass_driver
infrastructure,15487.0,,
launch,,382579446.1372768,mercury_mass_driver
launch,,382615625.5738216,mercury_mass_driver
launch,,382651792.88521266,mercury_mass_driver
launch,,382687948.0807195,mercury_mass_driver
launch,,382724091.16960037,mercury_mass_driver
launch,,382760222.1611025,mercury_mass_driver
launch,,382796341.06446224,mercury_mass_driver
infrastructure,15928.0,,
launch,,382832447.8889049,mercury_mass_driver
launch,,382868542.64364463,mercury_mass_driver
launch,,382904625.3378848,mercury_mass_driver
launch,,382940695.98081774,mercury_mass_driver
launch,,382976754.5816248,mercury_mass_driver
launch,,383012801.14947647,mercury_mass_driver
launch,,383048835.69353235,mercury_mass_driver
infrastructure,16369.0,,
launch,,383084858.2229411,mercury_mass_driver
launch,,383120868.7468406,mercury_mass_driver
launch,,383156867.27435786,mercury_mass_driver
launch,,383192853.8146088,mercury_mass_driver
launch,,383228828.37669903,mercury_mass_driver
launch,,383264790.9697229,mercury_mass_driver
launch,,383300741.6027642,mercury_mass_driver
infrastructure,16809.0,,
