day,phase,pv_m2,structure_kg,launched_m2,cum_area_m2,optical_depth,power_GW_1AU_equiv,mass_drivers_online,energy_kWh,resource_remaining_kg,used_mass_kg_day,transport_MW_used,transport_MWh,band_0_area_m2,band_1_area_m2,band_2_area_m2,band_0_od,band_1_od,band_2_od
116,0,26229.421787839106,78688.26536351732,0.0,0.0,0.0,0.0,0,459389.10998020833,1.542503416411346e+18,82622.67863169318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0,26278.57849598317,78835.7354879495,0.0,0.0,0.0,0.0,0,460250.05371684564,1.5425034164112632e+18,82777.52226234697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0,26327.41133615652,78982.23400846956,0.0,0.0,0.0,0.0,0,461105.32514320407,1.5425034164111803e+18,82931.34570889304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0,26375.925137042526,79127.77541112757,0.0,0.0,0.0,0.0,1,461955.0088301358,1.542503416411097e+18,83084.16418168395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0,42278.59938531107,126835.79815593323,0.0,0.0,0.0,0.0,1,740478.6998328998,1.542503416410964e+18,133177.5880637299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0,42355.223010612244,127065.66903183673,0.0,0.0,0.0,0.0,1,741820.7065044644,1.5425034164108306e+18,133418.95248342858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,42431.35830229047,127294.07490687142,0.0,0.0,0.0,0.0,1,743154.1603703197,1.542503416410697e+18,133658.778652215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0,42507.01230508282,127521.03691524845,0.0,0.0,0.0,0.0,1,744479.1848138754,1.542503416410563e+18,133897.08876101088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0,42582.19190627907,127746.57571883721,0.0,0.0,0.0,0.0,1,745795.900460967,1.542503416410429e+18,134133.90450477906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,0,42656.903840468374,127970.7115214051,0.0,0.0,0.0,0.0,1,747104.4252629905,1.5425034164102945e+18,134369.24709747537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0,42731.154694106175,128193.46408231853,0.0,0.0,0.0,0.0,1,748404.8745768886,1.5425034164101599e+18,134603.13728643444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0,42804.95090990994,128414.85272972983,0.0,0.0,0.0,0.0,1,749697.3612421385,1.542503416410025e+18,134835.59536621632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0,42878.29879109111,128634.89637327334,0.0,0.0,0.0,0.0,1,750981.9956548718,1.54250341640989e+18,135066.641191937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0,42951.204505430775,128853.61351629233,0.0,0.0,0.0,0.0,1,752258.8858392561,1.5425034164097546e+18,135296.29419210696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0,43023.6740892059,129071.02226761769,0.0,0.0,0.0,0.0,1,753528.1375162612,1.5425034164096192e+18,135524.57338099857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,0,43095.71345097269,129287.14035291807,0.0,0.0,0.0,0.0,1,754789.8541699213,1.5425034164094835e+18,135751.49737056397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0,43167.32837521343,129501.98512564029,0.0,0.0,0.0,0.0,1,756044.1371112062,1.5425034164093473e+18,135977.0843819223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0,43238.52452585253,129715.5735775576,0.0,0.0,0.0,0.0,1,757291.0855396034,1.5425034164092111e+18,136201.3522564355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0,43309.30744964761,129927.92234894283,0.0,0.0,0.0,0.0,1,758530.7966025096,1.5425034164090747e+18,136424.31846638996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
